Date,Shell,AstraZeneca,HSBC Holdings,Unilever Group,BP,Diageo,Rio Tinto Group,Glencore,British American Tobacco,GlaxoSmithKline,FTSE 100
2014-03-24,6520.39990234375,3866.0,3213.5,468.5,1819.5,305.75,1611.7723388671875,606.2000122070312,3189.0,2158.0,2426.0
2014-03-25,6604.89990234375,3892.0,3250.5,473.95001220703125,1850.5,312.0,1633.9342041015625,611.7000122070312,3283.0,2177.0,2469.0
2014-03-26,6605.2998046875,3910.0,3235.0,476.20001220703125,1837.0,311.1000061035156,1635.4451904296875,611.2000122070312,3304.0,2183.5,2482.0
2014-03-27,6588.2998046875,3910.0,3287.0,476.3500061035156,1864.0,307.1000061035156,1625.875244140625,608.2999877929688,3275.0,2187.0,2505.0
2014-03-28,6615.60009765625,3937.5,3340.0,484.1499938964844,1868.5,313.25,1629.90478515625,611.0,3279.5,2193.5,2557.0
2014-03-31,6598.39990234375,3876.5,3335.5,480.0,1861.0,308.79998779296875,1603.2098388671875,607.5,3337.5,2191.0,2561.0
2014-04-01,6652.60009765625,3924.5,3330.5,484.29998779296875,1851.5,309.3999938964844,1605.2244873046875,613.0,3375.0,2209.5,2553.0
2014-04-02,6659.0,3950.0,3307.0,485.3999938964844,1832.0,313.29998779296875,1594.6473388671875,611.2000122070312,3377.0,2195.0,2547.0
2014-04-03,6649.10009765625,3917.5,3323.5,485.1499938964844,1833.5,313.25,1590.1141357421875,610.5,3316.0,2209.0,2539.0
2014-04-04,6695.60009765625,3923.0,3346.5,490.04998779296875,1858.0,318.70001220703125,1588.6031494140625,612.5,3380.5,2216.0,2538.0
2014-04-07,6622.7998046875,3867.5,3328.5,484.8500061035156,1855.5,316.6499938964844,1565.4339599609375,606.2000122070312,3343.5,2216.5,2537.0
2014-04-08,6590.7001953125,3810.5,3390.0,477.20001220703125,1878.5,316.0,1566.9449462890625,605.0,3426.5,2204.0,2606.0
2014-04-09,6635.60009765625,3811.5,3400.0,482.8999938964844,1882.0,312.75,1593.13623046875,612.7000122070312,3393.0,2207.0,2612.0
2014-04-10,6642.0,3837.0,3428.0,484.0,1889.0,314.29998779296875,1593.13623046875,618.7000122070312,3382.5,2213.0,2622.0
2014-04-11,6561.7001953125,3780.5,3392.5,475.45001220703125,1872.5,311.6000061035156,1563.419189453125,617.5999755859375,3330.5,2194.5,2635.0
